No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
49,Performance,Caching,Web,Repeat visits should be fast,Set appropriate cache headers,No caching strategy,Cache-Control headers,Every request hits server,Medium
50,Performance,Font Loading,Web,Web fonts can block rendering,Use font-display swap or optional,Invisible text during font load,font-display: swap,FOIT (Flash of Invisible Text),Medium
51,Performance,Third Party Scripts,Web,External scripts can block rendering,Load non-critical scripts async/defer,Synchronous third-party scripts,async or defer attribute,<script src='...'> in head,Medium
52,Performance,Bundle Size,Web,Large JavaScript slows interaction,Monitor and minimize bundle size,Ignore bundle size growth,Bundle analyzer,No size monitoring,Medium
53,Performance,Render Blocking,Web,CSS/JS can block first paint,Inline critical CSS defer non-critical,Large blocking CSS files,Critical CSS inline,All CSS in head,Medium
54,Forms,Input Labels,All,Every input needs a visible label,Always show label above or beside input,Placeholder as only label,<label>Email</label><input>,placeholder='Email' only,High
55,Forms,Error Placement,All,Errors should appear near the problem,Show error below related input,Single error message at top of form,Error under each field,All errors at form top,Medium
56,Forms,Inline Validation,All,Validate as user types or on blur,Validate on blur for most fields,Validate only on submit,onBlur validation,Submit-only validation,Medium
57,Forms,Input Types,All,Use appropriate input types,Use email tel number url etc,Text input for everything,type='email',type='text' for email,Medium
58,Forms,Autofill Support,Web,Help browsers autofill correctly,Use autocomplete attribute properly,Block or ignore autofill,autocomplete='email',autocomplete='off' everywhere,Medium
59,Forms,Required Indicators,All,Mark required fields clearly,Use asterisk or (required) text,No indication of required fields,* required indicator,Guess which are required,Medium
60,Forms,Password Visibility,All,Let users see password while typing,Toggle to show/hide password,No visibility toggle,Show/hide password button,Password always hidden,Medium
61,Forms,Submit Feedback,All,Confirm form submission status,Show loading then success/error state,No feedback after submit,Loading -> Success message,Button click with no response,High
62,Forms,Input Affordance,All,Inputs should look interactive,Use distinct input styling,Inputs that look like plain text,Border/background on inputs,Borderless inputs,Medium
63,Forms,Mobile Keyboards,Mobile,Show appropriate keyboard for input type,Use inputmode attribute,Default keyboard for all inputs,inputmode='numeric',Text keyboard for numbers,Medium
64,Responsive,Mobile First,Web,Design for mobile then enhance for larger,Start with mobile styles then add breakpoints,Desktop-first causing mobile issues,Default mobile + md: lg: xl:,Desktop default + max-width queries,Medium
65,Responsive,Breakpoint Testing,Web,Test at all common screen sizes,Test at 320 375 414 768 1024 1440,Only test on your device,Multiple device testing,Single device development,Medium
66,Responsive,Touch Friendly,Web,Mobile layouts need touch-sized targets,Increase touch targets on mobile,Same tiny buttons on mobile,Larger buttons on mobile,Desktop-sized targets on mobile,High
67,Responsive,Readable Font Size,All,Text must be readable on all devices,Minimum 16px body text on mobile,Tiny text on mobile,text-base or larger,text-xs for body text,High
68,Responsive,Viewport Meta,Web,Set viewport for mobile devices,Use width=device-width initial-scale=1,Missing or incorrect viewport,<meta name='viewport'...>,No viewport meta tag,High
69,Responsive,Horizontal Scroll,Web,Avoid horizontal scrolling,Ensure content fits viewport width,Content wider than viewport,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile,High
70,Responsive,Image Scaling,Web,Images should scale with container,Use max-width: 100% on images,Fixed width images overflow,max-w-full h-auto,width='800' fixed,Medium
71,Responsive,Table Handling,Web,Tables can overflow on mobile,Use horizontal scroll or card layout,Wide tables breaking layout,overflow-x-auto wrapper,Table overflows viewport,Medium
72,Typography,Line Height,All,Adequate line height improves readability,Use 1.5-1.75 for body text,Cramped or excessive line height,leading-relaxed (1.625),leading-none (1),Medium
73,Typography,Line Length,Web,Long lines are hard to read,Limit to 65-75 characters per line,Full-width text on large screens,max-w-prose,Full viewport width text,Medium
74,Typography,Font Size Scale,All,Consistent type hierarchy aids scanning,Use consistent modular scale,Random font sizes,Type scale (12 14 16 18 24 32),Arbitrary sizes,Medium
75,Typography,Font Loading,Web,Fonts should load without layout shift,Reserve space with fallback font,Layout shift when fonts load,font-display: swap + similar fallback,No fallback font,Medium
76,Typography,Contrast Readability,All,Body text needs good contrast,Use darker text on light backgrounds,Gray text on gray background,text-gray-900 on white,text-gray-400 on gray-100,High
77,Typography,Heading Clarity,All,Headings should stand out from body,Clear size/weight difference,Headings similar to body text,Bold + larger size,Same size as body,Medium
78,Feedback,Loading Indicators,All,Show system status during waits,Show spinner/skeleton for operations > 300ms,No feedback during loading,Skeleton or spinner,Frozen UI,High
79,Feedback,Empty States,All,Guide users when no content exists,Show helpful message and action,Blank empty screens,No items yet. Create one!,Empty white space,Medium
80,Feedback,Error Recovery,All,Help users recover from errors,Provide clear next steps,Error without recovery path,Try again button + help link,Error message only,Medium
81,Feedback,Progress Indicators,All,Show progress for multi-step processes,Step indicators or progress bar,No indication of progress,Step 2 of 4 indicator,No step information,Medium
82,Feedback,Toast Notifications,All,Transient messages for non-critical info,Auto-dismiss after 3-5 seconds,Toasts that never disappear,Auto-dismiss toast,Persistent toast,Medium
83,Feedback,Confirmation Messages,All,Confirm successful actions,Brief success message,Silent success,Saved successfully toast,No confirmation,Medium
84,Content,Truncation,All,Handle long content gracefully,Truncate with ellipsis and expand option,Overflow or broken layout,line-clamp-2 with expand,Overflow or cut off,Medium
85,Content,Date Formatting,All,Use locale-appropriate date formats,Use relative or locale-aware dates,Ambiguous date formats,2 hours ago or locale format,01/02/03,Low
86,Content,Number Formatting,All,Format large numbers for readability,Use thousand separators or abbreviations,Long unformatted numbers,"1.2K or 1,234",1234567,Low
87,Content,Placeholder Content,All,Show realistic placeholders during dev,Use realistic sample data,Lorem ipsum everywhere,Real sample content,Lorem ipsum,Low
88,Onboarding,User Freedom,All,Users should be able to skip tutorials,Provide Skip and Back buttons,Force linear unskippable tour,Skip Tutorial button,Locked overlay until finished,Medium
89,Search,Autocomplete,Web,Help users find results faster,Show predictions as user types,Require full type and enter,Debounced fetch + dropdown,No suggestions,Medium
90,Search,No Results,Web,Dead ends frustrate users,Show 'No results' with suggestions,Blank screen or '0 results',Try searching for X instead,No results found.,Medium
91,Data Entry,Bulk Actions,Web,Editing one by one is tedious,Allow multi-select and bulk edit,Single row actions only,Checkbox column + Action bar,Repeated actions per row,Low
92,AI Interaction,Disclaimer,All,Users need to know they talk to AI,Clearly label AI generated content,Present AI as human,AI Assistant label,Fake human name without label,High
93,AI Interaction,Streaming,All,Waiting for full text is slow,Stream text response token by token,Show loading spinner for 10s+,Typewriter effect,Spinner until 100% complete,Medium
94,Spatial UI,Gaze Hover,VisionOS,Elements should respond to eye tracking before pinch,Scale/highlight element on look,Static element until pinch,hoverEffect(),onTap only,High
95,Spatial UI,Depth Layering,VisionOS,UI needs Z-depth to separate content from environment,Use glass material and z-offset,Flat opaque panels blocking view,.glassBackgroundEffect(),bg-white,Medium
96,Sustainability,Auto-Play Video,Web,Video consumes massive data and energy,Click-to-play or pause when off-screen,Auto-play high-res video loops,playsInline muted preload='none',autoplay loop,Medium
97,Sustainability,Asset Weight,Web,Heavy 3D/Image assets increase carbon footprint,Compress and lazy load 3D models,Load 50MB textures,Draco compression,Raw .obj files,Medium
98,AI Interaction,Feedback Loop,All,AI needs user feedback to improve,Thumps up/down or 'Regenerate',Static output only,Feedback component,Read-only text,Low
99,Accessibility,Motion Sensitivity,All,Parallax/Scroll-jacking causes nausea,Respect prefers-reduced-motion,Force scroll effects,@media (prefers-reduced-motion),ScrollTrigger.create(),High
100,Data Discovery,Unified Search Filter Sort Toolbar,Desktop Web,Search filter sort and view controls should share one contextual toolbar,Keep controls compact and show active counts,Place every filter in a separate settings card,Search · Filter 2 · Sort 1,Large Filters card above table,High
101,Search,Local Search Scope,Desktop Web,Collection search must disclose which fields and records it matches,Describe searchable fields and distinguish global search,Use a generic Search placeholder with hidden scope,Search title name or username,Search everything,High
102,Search,Progressive Search Reveal,Desktop Web,Toolbar search should expand only while active unless search is the primary task,Autofocus on reveal and keep the active query visible,Permanently consume toolbar space with an inactive field,Search button expands to focused input,Always-visible empty wide input,Medium
103,Filtering,Structured Property Operator Value Rules,Desktop Web,Filter builders need a stable Property Operator Value grammar,Show compatible operators and typed value controls,Show every field at once in a generic form,Where Status is In progress,Grid of unrelated form fields,High
104,Filtering,Active Filter Rule Summary,Desktop Web,Users must see that filters remain active after closing the editor,Show a count chip or short rule summary,Signal active filters only with icon color,Filter · 3,Blue funnel icon only,High
105,Filtering,Immediate Complete Rule Application,Desktop Web,Complete filter rules should update results without a separate desktop Apply step,Apply complete rules immediately and keep incomplete drafts local,Require Apply filters after every small change,Choosing Status updates results,Apply filters button below a form,High
106,Filtering,Independent Rule Editing and Removal,Desktop Web,Users should change one predicate without rebuilding other filters,Support edit duplicate remove and clear-all actions,Reset the entire filter form to change one rule,Remove action on each rule,Clear and re-enter every field,Medium
107,Sorting,Ordered Multi Sort Precedence,Desktop Web,Multiple sort rules must communicate primary and secondary precedence,Display rules in applied order and allow reordering,Show selected fields without their precedence,1 Due date then 2 Priority,Due date and Priority badges only,High
108,Sorting,Semantic Sort Direction Labels,Desktop Web,Sort direction should match the property type and remain understandable without icons,Use labels such as Newest first or Highest first,Use unexplained up and down arrows alone,Due date · Earliest first,Due date · ↑,Medium
109,Data Navigation,URL Backed Query State,Desktop Web,Search filter sort and view state should be reproducible through the URL,Serialize committed state and preserve unrelated parameters,Keep all query state only in component memory,?q=error&status=failed&sort=-date,State lost on refresh,High
110,Data Navigation,Reset Pagination on Query Change,Desktop Web,Changing search filters or sorting invalidates the current page or cursor,Reset pagination while preserving the new query,Keep an out-of-range page after narrowing results,Change filter then return to page 1,Filter leaves user on empty page 12,High
111,Data Navigation,Server Constraints Before Pagination,Desktop Web,Large datasets require server search filter and sort before pagination,Query the authoritative dataset then paginate,Filter only the currently loaded page,Server predicate then stable order then limit,Hide nonmatching rows on current page only,Critical
112,Accessibility,Filter Builder Keyboard Flow,Desktop Web,Search filter and sort editors must support keyboard navigation and focus restoration,Use accessible primitives and restore focus to the trigger,Trap focus or lose focus when a popover closes,Escape closes and returns focus,Popover closes to document body,High
113,Responsive,Mobile Data Control Sheet,Mobile Web,Structured desktop popovers need an equivalent narrow-screen editor,Use the same query model inside a Sheet or Drawer,Replace filters with unrelated mobile-only fields,Filter 3 opens a mobile sheet,Desktop popover clipped off screen,High
114,Empty States,Recoverable Filtered No Results,All,No-result states should preserve context and provide a direct recovery path,Show the active query and offer clear or edit actions,Display a blank table or generic zero message,No matches · Clear 3 filters,No results found,Medium
115,Data Discovery,Draft and Committed Query State,Desktop Web,Incomplete filter and sort drafts must not affect result queries,Separate local draft state from complete URL-backed rules,Serialize half-built predicates,Choose property then operator before commit,?filter=status::,High
116,Performance,Debounced Search Immediate Filters,Web,Text search and structured choices need different update timing,Debounce remote text around 250 to 350 ms and apply discrete choices immediately,Debounce every control or request on every keystroke,Debounced q plus immediate status selection,One global delay for all controls,Medium
117,Buttons,Desktop Content Sized Actions,Desktop Web,Desktop buttons should normally size to their label icon and padding,Use intrinsic width inside a deliberate action row,Stretch routine actions across a wide card,Content-width Queue synchronization,Full-width button in a desktop settings card,High
118,Buttons,Full Width Button Exceptions,All,Full-width buttons need a workflow or responsive justification,Reserve full width for narrow auth checkout mobile or single-action flows,Use full width whenever the parent has available space,Full-width Sign in inside a narrow auth card,Full-width Save in a wide desktop form,Medium
119,Buttons,Action Row Grouping,Desktop Web,Form and card actions need explicit alignment wrapping and spacing,Place actions in a flex action row with consistent gaps,Leave buttons as unrelated children of a vertical content stack,Cancel and Save grouped at inline end,Submit button stretched below every field,High
120,Layout,Flex Grid Button Stretch,Web,Flex columns and grid containers can stretch intrinsically sized buttons accidentally,Inspect parent alignment and use an action row or intentional self alignment,Change the shared Button component to fight one parent layout,flex action row or self-start,Button as direct child of stretching flex-col,High
121,Responsive,Responsive Action Width,Web,Button width should adapt independently across desktop and mobile,Use content width on desktop and full width on narrow screens only when useful,Force one width behavior at every breakpoint,w-full sm:w-auto for a mobile-first action,w-full on every viewport,Medium
122,Content,Concise Verb Led Button Labels,All,Long action labels create oversized controls and slow scanning,Use concise verb-led labels while preserving domain meaning,Write sentence-length labels inside primary buttons,Queue synchronization,Queue a durable full-account synchronization operation,Medium
123,Icons,Icon Led Repeated Actions,All,Repeated familiar actions should be recognizable before users read labels,Lead with consistent icons and remove duplicated words where context is clear,Render the same short action word in every row,Icon-led preview download and overflow actions,Text-only Open button in every table row,High
124,Icons,Icon Only Familiar Actions,All,Universal low-ambiguity actions can use compact icon-only controls,Use icon-only for close search filter sort refresh copy and overflow,Use icon-only for unfamiliar workflow commands,Refresh icon with accessible name,Mystery icon for queue synchronization,High
125,Icons,Icon Plus Label Consequential Actions,All,Primary destructive expensive and domain-specific actions need visible labels,Pair a semantic icon with a concise explicit label,Hide commitments and destructive actions behind glyphs,Trash icon plus Delete account,Trash icon alone for permanent deletion,Critical
126,Accessibility,Icon Only Name and Tooltip,Web,Icon-only controls need both programmatic and visible-on-demand meaning,Provide an accessible name Tooltip focus state and adequate hit target,Rely on the SVG filename or hover alone,aria-label Refresh plus Tooltip,Unlabelled icon button,Critical
127,Navigation,Icon Led Navigation Landmarks,All,Navigation is faster to scan when stable destinations have consistent visual landmarks,Pair one icon family with concise destination labels,Use text-only navigation with no hierarchy or mix icon families,Users icon plus Accounts label,Different icon style on every route,Medium
128,Status,Status Icon and Visible Text,All,Status icons should reinforce rather than replace exact state meaning,Pair icon shape with a visible status label or token,Communicate state only through icon shape or color,Pause icon plus Paused,Yellow circle with no label,High
129,Icons,Avoid Decorative Icon Noise,All,Icons that add no recognition or meaning make text-heavy pages busier,Add icons to actions landmarks object types and statuses only,Decorate every heading field label and paragraph with a glyph,Workflow icon on workflow section,Sparkle icon beside every sentence,Medium
130,Responsive,Adaptive Icon Label Disclosure,Web,Familiar secondary labels may collapse when space is constrained,Hide labels responsively only after the action passes the icon-only test,Remove labels from primary or ambiguous actions on mobile,Icon-only filter in compact toolbar,Icon-only destructive workflow action,High
131,Entity Detail,Single Object Centered Header,Desktop Web,Entity identity status metadata actions and local navigation should form one compact header,Keep object context and controls adjacent,Scatter identity and controls across multiple cards,Account identity with status and Actions trigger,Separate hero action and status cards,High
132,Information Hierarchy,Avoid Duplicate Entity Identity,All,Repeating the same entity name in breadcrumb title card and summary weakens hierarchy,Choose one dominant identity expression and show each fact once,Repeat the account name at every layout level,One account identity in the page header,Account name in breadcrumb H1 and hero card,High
133,Actions,Entity Action Locality,All,Actions should appear next to the object or region they change,Attach entity section row field and form actions to their visible targets,Collect unrelated operations in distant cards,Account Actions menu beside account status,Pause account inside a lower diagnostics card,Critical
134,Actions,Secondary Entity Actions Overflow,Desktop Web,Multiple operational commands compete with identity and navigation,Keep at most one primary action and place secondary commands in Actions overflow,Render sync reconcile pause files and chats as equal header buttons,Active status plus Actions menu,Five equal outline buttons beside title,High
135,Navigation,Entity Tabs Below Header,Desktop Web,Related entity destinations need one stable local navigation layer,Place route-backed tabs directly below identity and metadata,Duplicate tab destinations as header buttons and cards,Overview Chats Files Workflows tabs,Chats and Files buttons plus separate navigation,High
136,Cards,Do Not Card Page Chrome,All,Breadcrumb identity metadata actions and tabs are page structure rather than content cards,Use a flat header and reserve Cards for bounded content groups,Wrap every hierarchy level in rounded bordered cards,Flat entity header then summary cards,Hero card around identity and actions,High
137,Metadata,Compact Entity Metadata,All,Stable IDs and creation dates should support identity without competing with it,Use muted compact key-value metadata and monospace only for identifiers,Render raw IDs repeatedly or as primary headings,Account ID · 1000…0001 and Created date,Full raw ID in title card and diagnostics,Medium
138,Responsive,Entity Header Reflow,Web,Entity context must remain coherent when the header wraps on narrow screens,Keep identity first status visible actions grouped and tabs attached,Move actions into unrelated cards when space is limited,Identity then status and Actions then tabs,Actions visible while entity identity is hidden,High
